timestamp,cpu_percent,mem_percent,disk_percent,load_1min
2026-05-25 14:46:20,0.2,24.3,19.2,0.05078125
2026-05-25 14:47:23,0.0,24.3,19.2,0.01513671875
2026-05-25 14:48:24,0.5,24.3,19.2,0.00390625
2026-05-25 14:56:36,0.8,23.6,19.2,0.00537109375
2026-05-25 14:57:42,0.2,23.6,19.2,0.0
2026-05-25 14:58:45,0.0,24.5,19.2,0.0
2026-05-25 14:59:48,100.0,24.6,19.2,0.84619140625
2026-05-25 15:00:49,3.6,24.2,19.2,1.41748046875
2026-05-25 15:00:55,0.5,24.2,19.2,1.3037109375
2026-05-25 15:01:01,0.5,24.2,19.2,1.19921875
2026-05-25 15:01:07,0.5,24.2,19.2,1.0146484375
2026-05-25 15:01:13,3.7,24.2,19.2,0.93310546875
2026-05-25 15:01:19,100.0,24.2,19.2,0.85791015625
2026-05-25 15:01:27,100.0,24.2,19.2,1.0341796875
2026-05-25 15:01:33,100.0,24.2,19.2,1.11181640625
2026-05-25 15:01:39,100.0,24.2,19.2,1.18310546875
